logtime,scenario_time,type,module,address,value
63704.250294,0,scenario_path,,,includes/scenarios/vocalexplanation.txt
63704.250567,0,seed_value,communications_vocal,,
63704.250575,0,seed_output,communications_vocal,,ZSC740
63704.250625,0,seed_value,communications_vocal,,
63704.250631,0,seed_output,communications_vocal,,HLM230
63704.250668,0,seed_value,communications_vocal,,
63704.250673,0,seed_output,communications_vocal,,SBN790
63704.250706,0,seed_value,communications_vocal,,
63704.25071,0,seed_output,communications_vocal,,PIV852
63704.250743,0,seed_value,communications_vocal,,
63704.250746,0,seed_output,communications_vocal,,DTW834
63704.250777,0,seed_value,communications_vocal,,
63704.250781,0,seed_output,communications_vocal,,LPP463
63704.250813,0,seed_value,communications_vocal,,
63704.250816,0,seed_output,communications_vocal,,QNZ454
63704.250848,0,seed_value,communications_vocal,,
63704.250852,0,seed_output,communications_vocal,,FDV753
63704.250868,0,seed_value,communications_vocal,,
63704.250872,0,seed_output,communications_vocal,,114.845395
63704.250884,0,seed_value,communications_vocal,,
63704.250887,0,seed_output,communications_vocal,,126.064149
63704.250899,0,seed_value,communications_vocal,,
63704.250902,0,seed_output,communications_vocal,,131.006862
63704.250913,0,seed_value,communications_vocal,,
63704.250916,0,seed_output,communications_vocal,,117.39115
63710.581857,0,dialog,,,OpenMATB end
63710.59429,0.015642,aoi,sysmon,vocal_foreground,"(691, 444.6, 1641, 0.0)"
63710.594357,0.015642,aoi,sysmon,vocal_overdue,"(691, 444.6, 1641, 0.0)"
63710.601347,0.015642,aoi,sysmon,vocal_task_title,"(691, 494.0, 1641, 444.6)"
63710.601503,0.015642,aoi,sysmon,vocal_automode,"(1094.75, 48.165000000000006, 1237.25, 23.465000000000003)"
63710.602885,0.015642,aoi,sysmon,vocal_scale1,"(762.25, 288.99, 857.25, 66.69)"
63710.603582,0.015642,aoi,sysmon,vocal_scale2,"(999.75, 288.99, 1094.75, 66.69)"
63710.604278,0.015642,aoi,sysmon,vocal_scale3,"(1237.25, 288.99, 1332.25, 66.69)"
63710.605067,0.015642,aoi,sysmon,vocal_scale4,"(1474.75, 288.99, 1569.75, 66.69)"
63710.605779,0.015642,aoi,sysmon,vocal_light1,"(738.5, 400.14000000000004, 1118.5, 333.45000000000005)"
63710.60649,0.015642,aoi,sysmon,vocal_light2,"(1213.5, 400.14000000000004, 1593.5, 333.45000000000005)"
63710.606519,0.015642,parameter,sysmon_vocal,title,System monitoring
63710.606528,0.015642,parameter,sysmon_vocal,taskplacement,bottommid
63710.606535,0.015642,parameter,sysmon_vocal,taskupdatetime,200
63710.606545,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-active,0
63710.606553,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
63710.606562,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
63710.60657,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
63710.606578,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
63710.606585,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
63710.606592,0.015642,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x133f2ded0>
63710.606605,0.015642,parameter,sysmon_vocal,alerttimeout,10000
63710.606611,0.015642,parameter,sysmon_vocal,automaticsolver,0
63710.606617,0.015642,parameter,sysmon_vocal,automaticsolverdelay,1000
