logtime,scenario_time,type,module,address,value
68228.305726,0,scenario_path,,,includes/scenarios/vocalexplanation.txt
68228.305972,0,seed_value,communications_vocal,,
68228.30598,0,seed_output,communications_vocal,,DTW834
68228.306029,0,seed_value,communications_vocal,,
68228.306034,0,seed_output,communications_vocal,,LPP463
68228.30607,0,seed_value,communications_vocal,,
68228.306074,0,seed_output,communications_vocal,,QNZ454
68228.306106,0,seed_value,communications_vocal,,
68228.306111,0,seed_output,communications_vocal,,FDV753
68228.306143,0,seed_value,communications_vocal,,
68228.306147,0,seed_output,communications_vocal,,XVZ241
68228.306178,0,seed_value,communications_vocal,,
68228.306181,0,seed_output,communications_vocal,,EHA972
68228.306215,0,seed_value,communications_vocal,,
68228.306218,0,seed_output,communications_vocal,,WMS232
68228.30625,0,seed_value,communications_vocal,,
68228.306254,0,seed_output,communications_vocal,,MYA347
68228.306284,0,seed_value,communications_vocal,,
68228.306287,0,seed_output,communications_vocal,,UPW443
68228.306313,0,seed_value,communications_vocal,,
68228.306316,0,seed_output,communications_vocal,,DXE892
68228.30633,0,seed_value,communications_vocal,,
68228.306333,0,seed_output,communications_vocal,,121.76255
68228.306344,0,seed_value,communications_vocal,,
68228.306347,0,seed_output,communications_vocal,,115.511246
68228.306358,0,seed_value,communications_vocal,,
68228.306361,0,seed_output,communications_vocal,,111.098028
68228.306371,0,seed_value,communications_vocal,,
68228.306374,0,seed_output,communications_vocal,,135.992022
68232.485067,0,dialog,,,OpenMATB end
68232.497857,0.011937,aoi,sysmon,vocal_foreground,"(691, 444.6, 1641, 0.0)"
68232.497921,0.011937,aoi,sysmon,vocal_overdue,"(691, 444.6, 1641, 0.0)"
68232.504333,0.011937,aoi,sysmon,vocal_task_title,"(691, 494.0, 1641, 444.6)"
68232.504508,0.011937,aoi,sysmon,vocal_automode,"(1094.75, 48.165000000000006, 1237.25, 23.465000000000003)"
68232.505617,0.011937,aoi,sysmon,vocal_scale1,"(762.25, 288.99, 857.25, 66.69)"
68232.506455,0.011937,aoi,sysmon,vocal_scale2,"(999.75, 288.99, 1094.75, 66.69)"
68232.50724,0.011937,aoi,sysmon,vocal_scale3,"(1237.25, 288.99, 1332.25, 66.69)"
68232.507891,0.011937,aoi,sysmon,vocal_scale4,"(1474.75, 288.99, 1569.75, 66.69)"
68232.508678,0.011937,aoi,sysmon,vocal_light1,"(738.5, 400.14000000000004, 1118.5, 333.45000000000005)"
68232.509428,0.011937,aoi,sysmon,vocal_light2,"(1213.5, 400.14000000000004, 1593.5, 333.45000000000005)"
68232.509451,0.011937,parameter,sysmon_vocal,title,System monitoring
68232.509461,0.011937,parameter,sysmon_vocal,taskplacement,bottommid
68232.509468,0.011937,parameter,sysmon_vocal,taskupdatetime,200
68232.509478,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-active,0
68232.509487,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
68232.509497,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
68232.509505,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
68232.509513,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
68232.50952,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
68232.509528,0.011937,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x159109690>
68232.509538,0.011937,parameter,sysmon_vocal,alerttimeout,10000
68232.509545,0.011937,parameter,sysmon_vocal,automaticsolver,0
68232.509551,0.011937,parameter,sysmon_vocal,automaticsolverdelay,1000
68232.509558,0.011937,parameter,sysmon_vocal,displayautomationstate,1
68232.509564,0.011937,parameter,sysmon_vocal,allowanykey,0
68232.509571,0.011937,parameter,sysmon_vocal,feedbackduration,1500
68232.509579,0.011937,parameter,sysmon_vocal,feedbacks-positive-active,1
68232.509586,0.011937,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
68232.509594,0.011937,parameter,sysmon_vocal,feedbacks-negative-active,1
68232.5096,0.011937,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
68232.509608,0.011937,parameter,sysmon_vocal,lights-1-name,F5
68232.509615,0.011937,parameter,sysmon_vocal,lights-1-failure,0
68232.509621,0.011937,parameter,sysmon_vocal,lights-1-default,on
68232.509627,0.011937,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
68232.509635,0.011937,parameter,sysmon_vocal,lights-1-key,F5
68232.509641,0.011937,parameter,sysmon_vocal,lights-1-on,1
68232.509648,0.011937,parameter,sysmon_vocal,lights-1-_failuretimer,
68232.509654,0.011937,parameter,sysmon_vocal,lights-1-_onfailure,0
68232.50966,0.011937,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
68232.509667,0.011937,parameter,sysmon_vocal,lights-1-_freezetimer,
68232.509673,0.011937,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x15912f750>
68232.509682,0.011937,parameter,sysmon_vocal,lights-2-name,F6
68232.509688,0.011937,parameter,sysmon_vocal,lights-2-failure,0
68232.509694,0.011937,parameter,sysmon_vocal,lights-2-default,off
68232.5097,0.011937,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
68232.509707,0.011937,parameter,sysmon_vocal,lights-2-key,F6
68232.509714,0.011937,parameter,sysmon_vocal,lights-2-on,0
68232.50972,0.011937,parameter,sysmon_vocal,lights-2-_failuretimer,
68232.509726,0.011937,parameter,sysmon_vocal,lights-2-_onfailure,0
68232.509733,0.011937,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
68232.509744,0.011937,parameter,sysmon_vocal,lights-2-_freezetimer,
68232.509751,0.011937,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x159139390>
68232.509759,0.011937,parameter,sysmon_vocal,scales-1-name,F1
68232.509765,0.011937,parameter,sysmon_vocal,scales-1-failure,0
68232.509772,0.011937,parameter,sysmon_vocal,scales-1-side,0
68232.509778,0.011937,parameter,sysmon_vocal,scales-1-key,F1
68232.509784,0.011937,parameter,sysmon_vocal,scales-1-_failuretimer,
68232.50979,0.011937,parameter,sysmon_vocal,scales-1-_onfailure,0
68232.509797,0.011937,parameter,sysmon_vocal,scales-1-_milliresponsetime,0
68232.509803,0.011937,parameter,sysmon_vocal,scales-1-_freezetimer,
68232.509809,0.011937,parameter,sysmon_vocal,scales-1-_pos,5
68232.509816,0.011937,parameter,sysmon_vocal,scales-1-_zone,0
68232.509822,0.011937,parameter,sysmon_vocal,scales-1-_feedbacktimer,
68232.509829,0.011937,parameter,sysmon_vocal,scales-1-_feedbacktype,
68232.509835,0.011937,parameter,sysmon_vocal,scales-1-widget,<core.widgets.scale.Scale object at 0x159120c50>
68232.509843,0.011937,parameter,sysmon_vocal,scales-2-name,F2
68232.509849,0.011937,parameter,sysmon_vocal,scales-2-failure,0
68232.509855,0.011937,parameter,sysmon_vocal,scales-2-side,0
68232.509861,0.011937,parameter,sysmon_vocal,scales-2-key,F2
68232.509868,0.011937,parameter,sysmon_vocal,scales-2-_failuretimer,
68232.509874,0.011937,parameter,sysmon_vocal,scales-2-_onfailure,0
68232.50988,0.011937,parameter,sysmon_vocal,scales-2-_milliresponsetime,0
68232.509887,0.011937,parameter,sysmon_vocal,scales-2-_freezetimer,
68232.509893,0.011937,parameter,sysmon_vocal,scales-2-_pos,5
68232.509899,0.011937,parameter,sysmon_vocal,scales-2-_zone,0
68232.509905,0.011937,parameter,sysmon_vocal,scales-2-_feedbacktimer,
68232.509912,0.011937,parameter,sysmon_vocal,scales-2-_feedbacktype,
68232.509918,0.011937,parameter,sysmon_vocal,scales-2-widget,<core.widgets.scale.Scale object at 0x159122e90>
68232.509926,0.011937,parameter,sysmon_vocal,scales-3-name,F3
68232.509932,0.011937,parameter,sysmon_vocal,scales-3-failure,0
68232.509938,0.011937,parameter,sysmon_vocal,scales-3-side,0
68232.509945,0.011937,parameter,sysmon_vocal,scales-3-key,F3
68232.509951,0.011937,parameter,sysmon_vocal,scales-3-_failuretimer,
68232.509957,0.011937,parameter,sysmon_vocal,scales-3-_onfailure,0
68232.509963,0.011937,parameter,sysmon_vocal,scales-3-_milliresponsetime,0
68232.50997,0.011937,parameter,sysmon_vocal,scales-3-_freezetimer,
68232.509976,0.011937,parameter,sysmon_vocal,scales-3-_pos,5
68232.509982,0.011937,parameter,sysmon_vocal,scales-3-_zone,0
