logtime,scenario_time,type,module,address,value
68660.411647,0,scenario_path,,,includes/scenarios/questiononly.txt
68660.411913,0,seed_value,communications_vv,,
68660.41192,0,seed_output,communications_vv,,VBZ818
68660.411959,0,seed_value,communications_vv,,
68660.411964,0,seed_output,communications_vv,,XVZ241
68660.412001,0,seed_value,communications_vv,,
68660.412005,0,seed_output,communications_vv,,EHA972
68660.412038,0,seed_value,communications_vv,,
68660.412042,0,seed_output,communications_vv,,WMS232
68660.41207,0,seed_value,communications_vv,,
68660.412074,0,seed_output,communications_vv,,MYA347
68660.412103,0,seed_value,communications_vv,,
68660.412106,0,seed_output,communications_vv,,UPW443
68660.412134,0,seed_value,communications_vv,,
68660.412137,0,seed_output,communications_vv,,DXE892
68660.412168,0,seed_value,communications_vv,,
68660.412172,0,seed_output,communications_vv,,RZJ909
68660.412199,0,seed_value,communications_vv,,
68660.412202,0,seed_output,communications_vv,,APD620
68660.412229,0,seed_value,communications_vv,,
68660.412232,0,seed_output,communications_vv,,SFU347
68660.412246,0,seed_value,communications_vv,,
68660.412249,0,seed_output,communications_vv,,123.137533
68660.412261,0,seed_value,communications_vv,,
68660.412264,0,seed_output,communications_vv,,113.256681
68660.412274,0,seed_value,communications_vv,,
68660.412277,0,seed_output,communications_vv,,127.636649
68660.412287,0,seed_value,communications_vv,,
68660.41229,0,seed_output,communications_vv,,134.263551
68664.588038,0,dialog,,,OpenMATB end
68664.598748,0.014919,aoi,sysmon,vv_foreground,"(691, 444.6, 1641, 0.0)"
68664.598804,0.014919,aoi,sysmon,vv_overdue,"(691, 444.6, 1641, 0.0)"
68664.604855,0.014919,aoi,sysmon,vv_task_title,"(691, 494.0, 1641, 444.6)"
68664.605125,0.014919,aoi,sysmon,vv_automode,"(1094.75, 48.165000000000006, 1237.25, 23.465000000000003)"
68664.606228,0.014919,aoi,sysmon,vv_scale1,"(762.25, 288.99, 857.25, 66.69)"
68664.606988,0.014919,aoi,sysmon,vv_scale2,"(999.75, 288.99, 1094.75, 66.69)"
68664.607819,0.014919,aoi,sysmon,vv_scale3,"(1237.25, 288.99, 1332.25, 66.69)"
68664.608475,0.014919,aoi,sysmon,vv_scale4,"(1474.75, 288.99, 1569.75, 66.69)"
68664.609148,0.014919,aoi,sysmon,vv_light1,"(738.5, 400.14000000000004, 1118.5, 333.45000000000005)"
68664.609918,0.014919,aoi,sysmon,vv_light2,"(1213.5, 400.14000000000004, 1593.5, 333.45000000000005)"
68664.611168,0.014919,aoi,sysmon,vv_alert,"(691, 444.6, 1641, 0.0)"
68664.611276,0.014919,parameter,sysmon_vv,title,System monitoring
68664.611288,0.014919,parameter,sysmon_vv,taskplacement,bottommid
68664.611296,0.014919,parameter,sysmon_vv,taskupdatetime,200
68664.611305,0.014919,parameter,sysmon_vv,taskfeedback-overdue-active,0
68664.611313,0.014919,parameter,sysmon_vv,taskfeedback-overdue-color,"(241, 100, 100, 255)"
68664.611323,0.014919,parameter,sysmon_vv,taskfeedback-overdue-delayms,2000
68664.611335,0.014919,parameter,sysmon_vv,taskfeedback-overdue-blinkdurationms,1000
68664.611343,0.014919,parameter,sysmon_vv,taskfeedback-overdue-_nexttoggletime,0
68664.61135,0.014919,parameter,sysmon_vv,taskfeedback-overdue-_is_visible,0
68664.611358,0.014919,parameter,sysmon_vv,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x140014a50>
68664.61137,0.014919,parameter,sysmon_vv,alerttimeout,10000
68664.611376,0.014919,parameter,sysmon_vv,automaticsolver,0
68664.611383,0.014919,parameter,sysmon_vv,automaticsolverdelay,1000
68664.611389,0.014919,parameter,sysmon_vv,displayautomationstate,1
68664.611395,0.014919,parameter,sysmon_vv,allowanykey,0
68664.611401,0.014919,parameter,sysmon_vv,feedbackduration,1500
68664.611409,0.014919,parameter,sysmon_vv,feedbacks-positive-active,1
68664.611415,0.014919,parameter,sysmon_vv,feedbacks-positive-color,"(142, 219, 176, 255)"
68664.611423,0.014919,parameter,sysmon_vv,feedbacks-negative-active,1
68664.61143,0.014919,parameter,sysmon_vv,feedbacks-negative-color,"(241, 100, 100, 255)"
68664.611437,0.014919,parameter,sysmon_vv,lights-1-name,F5
68664.611443,0.014919,parameter,sysmon_vv,lights-1-failure,0
68664.611449,0.014919,parameter,sysmon_vv,lights-1-default,on
68664.611456,0.014919,parameter,sysmon_vv,lights-1-oncolor,"(142, 219, 176, 255)"
68664.611463,0.014919,parameter,sysmon_vv,lights-1-key,F5
68664.611468,0.014919,parameter,sysmon_vv,lights-1-on,1
68664.611474,0.014919,parameter,sysmon_vv,lights-1-_failuretimer,
68664.61148,0.014919,parameter,sysmon_vv,lights-1-_onfailure,0
68664.611486,0.014919,parameter,sysmon_vv,lights-1-_milliresponsetime,0
68664.611492,0.014919,parameter,sysmon_vv,lights-1-_freezetimer,
68664.611498,0.014919,parameter,sysmon_vv,lights-1-widget,<core.widgets.light.Light object at 0x14003fa50>
68664.611506,0.014919,parameter,sysmon_vv,lights-2-name,F6
68664.611512,0.014919,parameter,sysmon_vv,lights-2-failure,0
68664.611518,0.014919,parameter,sysmon_vv,lights-2-default,off
68664.611524,0.014919,parameter,sysmon_vv,lights-2-oncolor,"(241, 100, 100, 255)"
68664.611531,0.014919,parameter,sysmon_vv,lights-2-key,F6
68664.611537,0.014919,parameter,sysmon_vv,lights-2-on,0
68664.611543,0.014919,parameter,sysmon_vv,lights-2-_failuretimer,
68664.611549,0.014919,parameter,sysmon_vv,lights-2-_onfailure,0
68664.611555,0.014919,parameter,sysmon_vv,lights-2-_milliresponsetime,0
68664.611561,0.014919,parameter,sysmon_vv,lights-2-_freezetimer,
68664.611567,0.014919,parameter,sysmon_vv,lights-2-widget,<core.widgets.light.Light object at 0x1400496d0>
68664.611575,0.014919,parameter,sysmon_vv,scales-1-name,F1
68664.611581,0.014919,parameter,sysmon_vv,scales-1-failure,0
68664.611588,0.014919,parameter,sysmon_vv,scales-1-side,0
68664.611595,0.014919,parameter,sysmon_vv,scales-1-key,F1
68664.611602,0.014919,parameter,sysmon_vv,scales-1-_failuretimer,
68664.611608,0.014919,parameter,sysmon_vv,scales-1-_onfailure,0
68664.611614,0.014919,parameter,sysmon_vv,scales-1-_milliresponsetime,0
68664.61162,0.014919,parameter,sysmon_vv,scales-1-_freezetimer,
68664.611625,0.014919,parameter,sysmon_vv,scales-1-_pos,5
68664.611632,0.014919,parameter,sysmon_vv,scales-1-_zone,0
68664.611638,0.014919,parameter,sysmon_vv,scales-1-_feedbacktimer,
68664.611644,0.014919,parameter,sysmon_vv,scales-1-_feedbacktype,
68664.611651,0.014919,parameter,sysmon_vv,scales-1-widget,<core.widgets.scale.Scale object at 0x140017dd0>
68664.611659,0.014919,parameter,sysmon_vv,scales-2-name,F2
68664.611665,0.014919,parameter,sysmon_vv,scales-2-failure,0
68664.611671,0.014919,parameter,sysmon_vv,scales-2-side,0
68664.611677,0.014919,parameter,sysmon_vv,scales-2-key,F2
68664.611682,0.014919,parameter,sysmon_vv,scales-2-_failuretimer,
68664.611687,0.014919,parameter,sysmon_vv,scales-2-_onfailure,0
68664.611693,0.014919,parameter,sysmon_vv,scales-2-_milliresponsetime,0
68664.611698,0.014919,parameter,sysmon_vv,scales-2-_freezetimer,
68664.611703,0.014919,parameter,sysmon_vv,scales-2-_pos,5
68664.611708,0.014919,parameter,sysmon_vv,scales-2-_zone,0
68664.611713,0.014919,parameter,sysmon_vv,scales-2-_feedbacktimer,
68664.611719,0.014919,parameter,sysmon_vv,scales-2-_feedbacktype,
68664.611725,0.014919,parameter,sysmon_vv,scales-2-widget,<core.widgets.scale.Scale object at 0x14002da10>
68664.611732,0.014919,parameter,sysmon_vv,scales-3-name,F3
68664.611737,0.014919,parameter,sysmon_vv,scales-3-failure,0
68664.611742,0.014919,parameter,sysmon_vv,scales-3-side,0
68664.611747,0.014919,parameter,sysmon_vv,scales-3-key,F3
68664.611753,0.014919,parameter,sysmon_vv,scales-3-_failuretimer,
68664.611758,0.014919,parameter,sysmon_vv,scales-3-_onfailure,0
68664.611763,0.014919,parameter,sysmon_vv,scales-3-_milliresponsetime,0
68664.611769,0.014919,parameter,sysmon_vv,scales-3-_freezetimer,
68664.611774,0.014919,parameter,sysmon_vv,scales-3-_pos,5
68664.611779,0.014919,parameter,sysmon_vv,scales-3-_zone,0
