logtime,scenario_time,type,module,address,value
1.269708,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
1.300629,0,seed_value,communications_vocal,,
1.300708,0,seed_output,communications_vocal,,KMG347
1.300912,0,seed_value,communications_vocal,,
1.300931,0,seed_output,communications_vocal,,YMU263
1.301054,0,seed_value,communications_vocal,,
1.30107,0,seed_output,communications_vocal,,GZM737
1.301163,0,seed_value,communications_vocal,,
1.301178,0,seed_output,communications_vocal,,SQR468
1.301276,0,seed_value,communications_vocal,,
1.301291,0,seed_output,communications_vocal,,TPH200
1.30138,0,seed_value,communications_vocal,,
1.301393,0,seed_output,communications_vocal,,VHD069
1.301489,0,seed_value,communications_vocal,,
1.301502,0,seed_output,communications_vocal,,DQK629
1.301595,0,seed_value,communications_vocal,,
1.301608,0,seed_output,communications_vocal,,BWU383
1.301698,0,seed_value,communications_vocal,,
1.301712,0,seed_output,communications_vocal,,RTO927
1.301762,0,seed_value,communications_vocal,,
1.301776,0,seed_output,communications_vocal,,119.701551
1.301803,0,seed_value,communications_vocal,,
1.301815,0,seed_output,communications_vocal,,110.062118
1.30184,0,seed_value,communications_vocal,,
1.301859,0,seed_output,communications_vocal,,131.89041
1.301882,0,seed_value,communications_vocal,,
1.301893,0,seed_output,communications_vocal,,128.490638
6.628574,0,dialog,,,OpenMATB end
6.644475,0.017003,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
6.644569,0.017003,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
6.666324,0.017003,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
6.666674,0.017003,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
6.669708,0.017003,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
6.672333,0.017003,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
6.674882,0.017003,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
6.67702,0.017003,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
6.678958,0.017003,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
6.680872,0.017003,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
6.680913,0.017003,parameter,sysmon_vocal,title,System monitoring
6.680932,0.017003,parameter,sysmon_vocal,taskplacement,bottommid
6.680946,0.017003,parameter,sysmon_vocal,taskupdatetime,200
6.680965,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-active,0
6.68098,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
6.680995,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
6.681009,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
6.681023,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
6.681036,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
6.68105,0.017003,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x000001DD3FE26640>
6.681069,0.017003,parameter,sysmon_vocal,alerttimeout,10000
6.681081,0.017003,parameter,sysmon_vocal,automaticsolver,0
6.681094,0.017003,parameter,sysmon_vocal,automaticsolverdelay,1000
6.681106,0.017003,parameter,sysmon_vocal,displayautomationstate,1
6.681118,0.017003,parameter,sysmon_vocal,allowanykey,0
6.68113,0.017003,parameter,sysmon_vocal,feedbackduration,1500
6.681144,0.017003,parameter,sysmon_vocal,feedbacks-positive-active,1
6.681157,0.017003,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
6.681171,0.017003,parameter,sysmon_vocal,feedbacks-negative-active,1
6.681184,0.017003,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
6.681199,0.017003,parameter,sysmon_vocal,lights-1-name,F5
6.681211,0.017003,parameter,sysmon_vocal,lights-1-failure,0
6.681223,0.017003,parameter,sysmon_vocal,lights-1-default,on
6.681235,0.017003,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
6.681247,0.017003,parameter,sysmon_vocal,lights-1-key,F5
6.681259,0.017003,parameter,sysmon_vocal,lights-1-on,1
6.681272,0.017003,parameter,sysmon_vocal,lights-1-_failuretimer,
6.681283,0.017003,parameter,sysmon_vocal,lights-1-_onfailure,0
6.681296,0.017003,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
6.681308,0.017003,parameter,sysmon_vocal,lights-1-_freezetimer,
6.681321,0.017003,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x000001DD419A1940>
6.681337,0.017003,parameter,sysmon_vocal,lights-2-name,F6
6.681349,0.017003,parameter,sysmon_vocal,lights-2-failure,0
6.681361,0.017003,parameter,sysmon_vocal,lights-2-default,off
6.681372,0.017003,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
6.681386,0.017003,parameter,sysmon_vocal,lights-2-key,F6
6.681398,0.017003,parameter,sysmon_vocal,lights-2-on,0
6.681411,0.017003,parameter,sysmon_vocal,lights-2-_failuretimer,
6.681425,0.017003,parameter,sysmon_vocal,lights-2-_onfailure,0
6.681437,0.017003,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
6.681449,0.017003,parameter,sysmon_vocal,lights-2-_freezetimer,
6.681461,0.017003,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x000001DD3FD31A30>
6.681477,0.017003,parameter,sysmon_vocal,scales-1-name,F1
6.681489,0.017003,parameter,sysmon_vocal,scales-1-failure,0
6.681502,0.017003,parameter,sysmon_vocal,scales-1-side,0
6.681514,0.017003,parameter,sysmon_vocal,scales-1-key,F1
6.681527,0.017003,parameter,sysmon_vocal,scales-1-_failuretimer,
6.681539,0.017003,parameter,sysmon_vocal,scales-1-_onfailure,0
6.681551,0.017003,parameter,sysmon_vocal,scales-1-_milliresponsetime,0
6.681563,0.017003,parameter,sysmon_vocal,scales-1-_freezetimer,
6.681575,0.017003,parameter,sysmon_vocal,scales-1-_pos,5
6.681587,0.017003,parameter,sysmon_vocal,scales-1-_zone,0
6.681598,0.017003,parameter,sysmon_vocal,scales-1-_feedbacktimer,
6.68161,0.017003,parameter,sysmon_vocal,scales-1-_feedbacktype,
6.681626,0.017003,parameter,sysmon_vocal,scales-1-widget,<core.widgets.scale.Scale object at 0x000001DD41985B20>
6.681709,0.017003,parameter,sysmon_vocal,scales-2-name,F2
6.681725,0.017003,parameter,sysmon_vocal,scales-2-failure,0
6.68174,0.017003,parameter,sysmon_vocal,scales-2-side,0
6.681753,0.017003,parameter,sysmon_vocal,scales-2-key,F2
6.681774,0.017003,parameter,sysmon_vocal,scales-2-_failuretimer,
6.681787,0.017003,parameter,sysmon_vocal,scales-2-_onfailure,0
6.681799,0.017003,parameter,sysmon_vocal,scales-2-_milliresponsetime,0
6.681812,0.017003,parameter,sysmon_vocal,scales-2-_freezetimer,
6.681824,0.017003,parameter,sysmon_vocal,scales-2-_pos,5
