logtime,scenario_time,type,module,address,value
68394.837377,0,scenario_path,,,includes/scenarios/vocalexplanation.txt
68394.837585,0,seed_value,communications_vocal,,
68394.837592,0,seed_output,communications_vocal,,LPP463
68394.837634,0,seed_value,communications_vocal,,
68394.83764,0,seed_output,communications_vocal,,QNZ454
68394.837675,0,seed_value,communications_vocal,,
68394.837679,0,seed_output,communications_vocal,,FDV753
68394.837717,0,seed_value,communications_vocal,,
68394.837722,0,seed_output,communications_vocal,,XVZ241
68394.837753,0,seed_value,communications_vocal,,
68394.837756,0,seed_output,communications_vocal,,EHA972
68394.837785,0,seed_value,communications_vocal,,
68394.837788,0,seed_output,communications_vocal,,WMS232
68394.837816,0,seed_value,communications_vocal,,
68394.837819,0,seed_output,communications_vocal,,MYA347
68394.837849,0,seed_value,communications_vocal,,
68394.837853,0,seed_output,communications_vocal,,UPW443
68394.83788,0,seed_value,communications_vocal,,
68394.837883,0,seed_output,communications_vocal,,DXE892
68394.837911,0,seed_value,communications_vocal,,
68394.837914,0,seed_output,communications_vocal,,RZJ909
68394.837939,0,seed_value,communications_vocal,,
68394.837942,0,seed_output,communications_vocal,,APD620
68394.837956,0,seed_value,communications_vocal,,
68394.837959,0,seed_output,communications_vocal,,111.098028
68394.83797,0,seed_value,communications_vocal,,
68394.837973,0,seed_output,communications_vocal,,135.992022
68394.837984,0,seed_value,communications_vocal,,
68394.837987,0,seed_output,communications_vocal,,118.48416
68394.837997,0,seed_value,communications_vocal,,
68394.838,0,seed_output,communications_vocal,,123.137533
68403.81588,0,dialog,,,OpenMATB end
68403.825961,0.014212,aoi,sysmon,vocal_foreground,"(691, 444.6, 1641, 0.0)"
68403.826016,0.014212,aoi,sysmon,vocal_overdue,"(691, 444.6, 1641, 0.0)"
68403.832972,0.014212,aoi,sysmon,vocal_task_title,"(691, 494.0, 1641, 444.6)"
68403.833116,0.014212,aoi,sysmon,vocal_automode,"(1094.75, 48.165000000000006, 1237.25, 23.465000000000003)"
68403.834165,0.014212,aoi,sysmon,vocal_scale1,"(762.25, 288.99, 857.25, 66.69)"
68403.834877,0.014212,aoi,sysmon,vocal_scale2,"(999.75, 288.99, 1094.75, 66.69)"
68403.835688,0.014212,aoi,sysmon,vocal_scale3,"(1237.25, 288.99, 1332.25, 66.69)"
68403.836367,0.014212,aoi,sysmon,vocal_scale4,"(1474.75, 288.99, 1569.75, 66.69)"
68403.837052,0.014212,aoi,sysmon,vocal_light1,"(738.5, 400.14000000000004, 1118.5, 333.45000000000005)"
68403.837841,0.014212,aoi,sysmon,vocal_light2,"(1213.5, 400.14000000000004, 1593.5, 333.45000000000005)"
68403.83786,0.014212,parameter,sysmon_vocal,title,System monitoring
68403.837869,0.014212,parameter,sysmon_vocal,taskplacement,bottommid
68403.837876,0.014212,parameter,sysmon_vocal,taskupdatetime,200
68403.837886,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-active,0
68403.837895,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
68403.837905,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
68403.837913,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
68403.83792,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
68403.837927,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
68403.837935,0.014212,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x156809f10>
68403.837945,0.014212,parameter,sysmon_vocal,alerttimeout,10000
68403.837952,0.014212,parameter,sysmon_vocal,automaticsolver,0
68403.837958,0.014212,parameter,sysmon_vocal,automaticsolverdelay,1000
68403.837964,0.014212,parameter,sysmon_vocal,displayautomationstate,1
68403.83797,0.014212,parameter,sysmon_vocal,allowanykey,0
68403.837976,0.014212,parameter,sysmon_vocal,feedbackduration,1500
68403.837984,0.014212,parameter,sysmon_vocal,feedbacks-positive-active,1
68403.837991,0.014212,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
68403.837999,0.014212,parameter,sysmon_vocal,feedbacks-negative-active,1
68403.838006,0.014212,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
68403.838015,0.014212,parameter,sysmon_vocal,lights-1-name,F5
68403.838021,0.014212,parameter,sysmon_vocal,lights-1-failure,0
68403.838028,0.014212,parameter,sysmon_vocal,lights-1-default,on
68403.838034,0.014212,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
68403.838041,0.014212,parameter,sysmon_vocal,lights-1-key,F5
68403.838047,0.014212,parameter,sysmon_vocal,lights-1-on,1
68403.838054,0.014212,parameter,sysmon_vocal,lights-1-_failuretimer,
68403.83806,0.014212,parameter,sysmon_vocal,lights-1-_onfailure,0
68403.838067,0.014212,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
68403.838073,0.014212,parameter,sysmon_vocal,lights-1-_freezetimer,
68403.83808,0.014212,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x15683d010>
68403.838088,0.014212,parameter,sysmon_vocal,lights-2-name,F6
68403.838094,0.014212,parameter,sysmon_vocal,lights-2-failure,0
68403.8381,0.014212,parameter,sysmon_vocal,lights-2-default,off
68403.838107,0.014212,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
68403.838114,0.014212,parameter,sysmon_vocal,lights-2-key,F6
68403.83812,0.014212,parameter,sysmon_vocal,lights-2-on,0
68403.838126,0.014212,parameter,sysmon_vocal,lights-2-_failuretimer,
68403.838132,0.014212,parameter,sysmon_vocal,lights-2-_onfailure,0
68403.838138,0.014212,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
68403.838144,0.014212,parameter,sysmon_vocal,lights-2-_freezetimer,
68403.83815,0.014212,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x15683ec50>
68403.838158,0.014212,parameter,sysmon_vocal,scales-1-name,F1
68403.838164,0.014212,parameter,sysmon_vocal,scales-1-failure,0
68403.83817,0.014212,parameter,sysmon_vocal,scales-1-side,0
