logtime,scenario_time,type,module,address,value
1.247674,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
1.248571,0,seed_value,communications_vocal,,
1.248601,0,seed_output,communications_vocal,,OHB983
1.248732,0,seed_value,communications_vocal,,
1.24875,0,seed_output,communications_vocal,,GPN936
1.282613,0,seed_value,communications_vocal,,
1.282775,0,seed_output,communications_vocal,,GDC084
1.283056,0,seed_value,communications_vocal,,
1.283084,0,seed_output,communications_vocal,,SWD055
1.2832,0,seed_value,communications_vocal,,
1.283217,0,seed_output,communications_vocal,,OLH355
1.283317,0,seed_value,communications_vocal,,
1.283332,0,seed_output,communications_vocal,,DCX054
1.283435,0,seed_value,communications_vocal,,
1.28345,0,seed_output,communications_vocal,,ZDE249
1.283551,0,seed_value,communications_vocal,,
1.283565,0,seed_output,communications_vocal,,LPZ929
1.283663,0,seed_value,communications_vocal,,
1.283676,0,seed_output,communications_vocal,,ZWH403
1.283724,0,seed_value,communications_vocal,,
1.283738,0,seed_output,communications_vocal,,117.399675
1.283768,0,seed_value,communications_vocal,,
1.283783,0,seed_output,communications_vocal,,131.318988
1.283808,0,seed_value,communications_vocal,,
1.28382,0,seed_output,communications_vocal,,120.874822
1.283844,0,seed_value,communications_vocal,,
1.283854,0,seed_output,communications_vocal,,108.861276
3.102086,0,dialog,,,OpenMATB end
3.11523,0.017801,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
3.115332,0.017801,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
3.136601,0.017801,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
3.137063,0.017801,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
3.140346,0.017801,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
3.143096,0.017801,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
3.145478,0.017801,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
3.147522,0.017801,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
3.149432,0.017801,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
3.151811,0.017801,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
3.151874,0.017801,parameter,sysmon_vocal,title,System monitoring
