logtime,scenario_time,type,module,address,value
0.888235,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
0.888818,0,seed_value,communications_vocal,,
0.888835,0,seed_output,communications_vocal,,CFY553
0.888905,0,seed_value,communications_vocal,,
0.888915,0,seed_output,communications_vocal,,YQZ888
0.888975,0,seed_value,communications_vocal,,
0.888985,0,seed_output,communications_vocal,,LJC746
0.889048,0,seed_value,communications_vocal,,
0.889057,0,seed_output,communications_vocal,,TCS256
0.889135,0,seed_value,communications_vocal,,
0.889146,0,seed_output,communications_vocal,,UQW036
0.889213,0,seed_value,communications_vocal,,
0.889223,0,seed_output,communications_vocal,,BSW717
0.88928,0,seed_value,communications_vocal,,
0.889289,0,seed_output,communications_vocal,,LXM440
0.889346,0,seed_value,communications_vocal,,
0.889355,0,seed_output,communications_vocal,,BGX029
0.889437,0,seed_value,communications_vocal,,
0.889452,0,seed_output,communications_vocal,,YMU763
0.889575,0,seed_value,communications_vocal,,
0.889594,0,seed_output,communications_vocal,,MCS326
0.889629,0,seed_value,communications_vocal,,
0.889648,0,seed_output,communications_vocal,,130.900254
0.889674,0,seed_value,communications_vocal,,
0.889686,0,seed_output,communications_vocal,,122.019556
0.889708,0,seed_value,communications_vocal,,
0.889721,0,seed_output,communications_vocal,,110.163031
0.889744,0,seed_value,communications_vocal,,
0.889755,0,seed_output,communications_vocal,,130.016081
7.54162,0,dialog,,,OpenMATB end
7.549567,0.017566,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
7.54962,0.017566,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
7.559955,0.017566,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
7.560148,0.017566,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
7.561483,0.017566,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
7.562665,0.017566,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
7.56371,0.017566,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
7.564844,0.017566,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
7.565906,0.017566,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
7.56693,0.017566,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
7.566956,0.017566,parameter,sysmon_vocal,title,System monitoring
7.566967,0.017566,parameter,sysmon_vocal,taskplacement,bottommid
7.566976,0.017566,parameter,sysmon_vocal,taskupdatetime,200
7.566988,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-active,0
7.566997,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
7.567007,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
7.567015,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
7.567024,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
7.567033,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
7.567042,0.017566,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x000001B4B6CA3BE0>
7.567053,0.017566,parameter,sysmon_vocal,alerttimeout,10000
7.567061,0.017566,parameter,sysmon_vocal,automaticsolver,0
7.567069,0.017566,parameter,sysmon_vocal,automaticsolverdelay,1000
7.567076,0.017566,parameter,sysmon_vocal,displayautomationstate,1
7.567084,0.017566,parameter,sysmon_vocal,allowanykey,0
7.567091,0.017566,parameter,sysmon_vocal,feedbackduration,1500
7.5671,0.017566,parameter,sysmon_vocal,feedbacks-positive-active,1
7.567108,0.017566,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
7.567118,0.017566,parameter,sysmon_vocal,feedbacks-negative-active,1
7.567126,0.017566,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
7.567149,0.017566,parameter,sysmon_vocal,lights-1-name,F5
7.567157,0.017566,parameter,sysmon_vocal,lights-1-failure,0
7.567165,0.017566,parameter,sysmon_vocal,lights-1-default,on
7.567172,0.017566,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
7.56718,0.017566,parameter,sysmon_vocal,lights-1-key,F5
7.567188,0.017566,parameter,sysmon_vocal,lights-1-on,1
7.567195,0.017566,parameter,sysmon_vocal,lights-1-_failuretimer,
7.567203,0.017566,parameter,sysmon_vocal,lights-1-_onfailure,0
7.56721,0.017566,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
7.567218,0.017566,parameter,sysmon_vocal,lights-1-_freezetimer,
7.567226,0.017566,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x000001B4B8824B50>
7.567235,0.017566,parameter,sysmon_vocal,lights-2-name,F6
7.567243,0.017566,parameter,sysmon_vocal,lights-2-failure,0
7.567251,0.017566,parameter,sysmon_vocal,lights-2-default,off
7.567259,0.017566,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
7.567306,0.017566,parameter,sysmon_vocal,lights-2-key,F6
7.567316,0.017566,parameter,sysmon_vocal,lights-2-on,0
7.567324,0.017566,parameter,sysmon_vocal,lights-2-_failuretimer,
7.567333,0.017566,parameter,sysmon_vocal,lights-2-_onfailure,0
7.56734,0.017566,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
7.567348,0.017566,parameter,sysmon_vocal,lights-2-_freezetimer,
7.567356,0.017566,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x000001B4B6BB4C40>
7.567367,0.017566,parameter,sysmon_vocal,scales-1-name,F1
7.567374,0.017566,parameter,sysmon_vocal,scales-1-failure,0
7.567382,0.017566,parameter,sysmon_vocal,scales-1-side,0
7.56739,0.017566,parameter,sysmon_vocal,scales-1-key,F1
7.567398,0.017566,parameter,sysmon_vocal,scales-1-_failuretimer,
7.567405,0.017566,parameter,sysmon_vocal,scales-1-_onfailure,0
7.567413,0.017566,parameter,sysmon_vocal,scales-1-_milliresponsetime,0
7.56742,0.017566,parameter,sysmon_vocal,scales-1-_freezetimer,
7.567428,0.017566,parameter,sysmon_vocal,scales-1-_pos,5
7.567436,0.017566,parameter,sysmon_vocal,scales-1-_zone,0
7.567444,0.017566,parameter,sysmon_vocal,scales-1-_feedbacktimer,
7.567452,0.017566,parameter,sysmon_vocal,scales-1-_feedbacktype,
7.567459,0.017566,parameter,sysmon_vocal,scales-1-widget,<core.widgets.scale.Scale object at 0x000001B4B8809D30>
7.567469,0.017566,parameter,sysmon_vocal,scales-2-name,F2
7.567476,0.017566,parameter,sysmon_vocal,scales-2-failure,0
7.567483,0.017566,parameter,sysmon_vocal,scales-2-side,0
7.567491,0.017566,parameter,sysmon_vocal,scales-2-key,F2
7.567499,0.017566,parameter,sysmon_vocal,scales-2-_failuretimer,
7.567506,0.017566,parameter,sysmon_vocal,scales-2-_onfailure,0
7.567514,0.017566,parameter,sysmon_vocal,scales-2-_milliresponsetime,0
7.567522,0.017566,parameter,sysmon_vocal,scales-2-_freezetimer,
7.567529,0.017566,parameter,sysmon_vocal,scales-2-_pos,5
7.567536,0.017566,parameter,sysmon_vocal,scales-2-_zone,0
7.567544,0.017566,parameter,sysmon_vocal,scales-2-_feedbacktimer,
7.567551,0.017566,parameter,sysmon_vocal,scales-2-_feedbacktype,
7.567558,0.017566,parameter,sysmon_vocal,scales-2-widget,<core.widgets.scale.Scale object at 0x000001B4B8809F10>
7.567569,0.017566,parameter,sysmon_vocal,scales-3-name,F3
7.567576,0.017566,parameter,sysmon_vocal,scales-3-failure,0
7.567584,0.017566,parameter,sysmon_vocal,scales-3-side,0
7.567591,0.017566,parameter,sysmon_vocal,scales-3-key,F3
7.567598,0.017566,parameter,sysmon_vocal,scales-3-_failuretimer,
7.567606,0.017566,parameter,sysmon_vocal,scales-3-_onfailure,0
7.567613,0.017566,parameter,sysmon_vocal,scales-3-_milliresponsetime,0
7.567621,0.017566,parameter,sysmon_vocal,scales-3-_freezetimer,
