logtime,scenario_time,type,module,address,value
1.573316,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
1.574474,0,seed_value,communications_vocal,,
1.574536,0,seed_output,communications_vocal,,YMU763
1.57469,0,seed_value,communications_vocal,,
1.574711,0,seed_output,communications_vocal,,MCS326
1.574828,0,seed_value,communications_vocal,,
1.574844,0,seed_output,communications_vocal,,ACJ323
1.574943,0,seed_value,communications_vocal,,
1.574958,0,seed_output,communications_vocal,,QVV932
1.575053,0,seed_value,communications_vocal,,
1.575068,0,seed_output,communications_vocal,,IQY309
1.575242,0,seed_value,communications_vocal,,
1.575276,0,seed_output,communications_vocal,,MAV620
1.575457,0,seed_value,communications_vocal,,
1.575487,0,seed_output,communications_vocal,,MTB904
1.575634,0,seed_value,communications_vocal,,
1.575652,0,seed_output,communications_vocal,,QXL648
1.575697,0,seed_value,communications_vocal,,
1.575712,0,seed_output,communications_vocal,,109.32267
1.57576,0,seed_value,communications_vocal,,
1.575774,0,seed_output,communications_vocal,,109.945966
1.575799,0,seed_value,communications_vocal,,
1.575816,0,seed_output,communications_vocal,,130.152566
1.575862,0,seed_value,communications_vocal,,
1.575885,0,seed_output,communications_vocal,,110.631987
5.101629,0,dialog,,,OpenMATB end
5.113659,0.017362,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
5.113759,0.017362,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
5.13252,0.017362,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
5.132921,0.017362,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
5.136022,0.017362,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
5.138031,0.017362,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
5.139853,0.017362,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
5.141858,0.017362,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
5.144242,0.017362,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
5.146707,0.017362,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
5.14676,0.017362,parameter,sysmon_vocal,title,System monitoring
5.14678,0.017362,parameter,sysmon_vocal,taskplacement,bottommid
5.146794,0.017362,parameter,sysmon_vocal,taskupdatetime,200
5.146814,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-active,0
5.146831,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.146847,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
5.146862,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
5.146876,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
5.146889,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
5.146903,0.017362,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x0000020E04604BB0>
5.146921,0.017362,parameter,sysmon_vocal,alerttimeout,10000
5.146934,0.017362,parameter,sysmon_vocal,automaticsolver,0
5.146947,0.017362,parameter,sysmon_vocal,automaticsolverdelay,1000
5.146959,0.017362,parameter,sysmon_vocal,displayautomationstate,1
5.146972,0.017362,parameter,sysmon_vocal,allowanykey,0
5.146984,0.017362,parameter,sysmon_vocal,feedbackduration,1500
5.146999,0.017362,parameter,sysmon_vocal,feedbacks-positive-active,1
5.147019,0.017362,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
5.14705,0.017362,parameter,sysmon_vocal,feedbacks-negative-active,1
5.147077,0.017362,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
5.147105,0.017362,parameter,sysmon_vocal,lights-1-name,F5
5.147131,0.017362,parameter,sysmon_vocal,lights-1-failure,0
5.147153,0.017362,parameter,sysmon_vocal,lights-1-default,on
5.147181,0.017362,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
5.147211,0.017362,parameter,sysmon_vocal,lights-1-key,F5
5.147239,0.017362,parameter,sysmon_vocal,lights-1-on,1
5.147266,0.017362,parameter,sysmon_vocal,lights-1-_failuretimer,
5.147295,0.017362,parameter,sysmon_vocal,lights-1-_onfailure,0
5.147327,0.017362,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
5.147355,0.017362,parameter,sysmon_vocal,lights-1-_freezetimer,
