logtime,scenario_time,type,module,address,value
1.577954,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
1.578929,0,seed_value,communications_vocal,,
1.578961,0,seed_output,communications_vocal,,RVA294
1.579119,0,seed_value,communications_vocal,,
1.579141,0,seed_output,communications_vocal,,SLX305
1.579285,0,seed_value,communications_vocal,,
1.579306,0,seed_output,communications_vocal,,ENH403
1.579444,0,seed_value,communications_vocal,,
1.579463,0,seed_output,communications_vocal,,BUK143
1.579608,0,seed_value,communications_vocal,,
1.579629,0,seed_output,communications_vocal,,JHF431
1.579767,0,seed_value,communications_vocal,,
1.579787,0,seed_output,communications_vocal,,WUK805
1.579834,0,seed_value,communications_vocal,,
1.579852,0,seed_output,communications_vocal,,122.673323
1.579886,0,seed_value,communications_vocal,,
1.579903,0,seed_output,communications_vocal,,116.092809
1.579937,0,seed_value,communications_vocal,,
1.579954,0,seed_output,communications_vocal,,124.154106
1.579985,0,seed_value,communications_vocal,,
1.580003,0,seed_output,communications_vocal,,119.156433
8.664082,0,dialog,,,OpenMATB end
8.678714,0.017797,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
8.678807,0.017797,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
8.700757,0.017797,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
8.70109,0.017797,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
8.703593,0.017797,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
8.705654,0.017797,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
8.707528,0.017797,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
8.709578,0.017797,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
8.712034,0.017797,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
8.713921,0.017797,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
8.713966,0.017797,parameter,sysmon_vocal,title,System monitoring
8.71399,0.017797,parameter,sysmon_vocal,taskplacement,bottommid
8.714009,0.017797,parameter,sysmon_vocal,taskupdatetime,200
8.714027,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-active,0
8.714043,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
8.714059,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
8.714073,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
8.714087,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
8.714101,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
8.714116,0.017797,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x000001EC0BADDB20>
8.714134,0.017797,parameter,sysmon_vocal,alerttimeout,10000
8.714148,0.017797,parameter,sysmon_vocal,automaticsolver,0
8.714161,0.017797,parameter,sysmon_vocal,automaticsolverdelay,1000
8.714174,0.017797,parameter,sysmon_vocal,displayautomationstate,1
8.714253,0.017797,parameter,sysmon_vocal,allowanykey,0
8.71427,0.017797,parameter,sysmon_vocal,feedbackduration,1500
8.714286,0.017797,parameter,sysmon_vocal,feedbacks-positive-active,1
8.7143,0.017797,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
8.714316,0.017797,parameter,sysmon_vocal,feedbacks-negative-active,1
8.714329,0.017797,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
8.714345,0.017797,parameter,sysmon_vocal,lights-1-name,F5
8.714357,0.017797,parameter,sysmon_vocal,lights-1-failure,0
8.71437,0.017797,parameter,sysmon_vocal,lights-1-default,on
8.714382,0.017797,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
8.714395,0.017797,parameter,sysmon_vocal,lights-1-key,F5
8.714408,0.017797,parameter,sysmon_vocal,lights-1-on,1
8.71442,0.017797,parameter,sysmon_vocal,lights-1-_failuretimer,
8.714434,0.017797,parameter,sysmon_vocal,lights-1-_onfailure,0
8.714448,0.017797,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
8.714462,0.017797,parameter,sysmon_vocal,lights-1-_freezetimer,
8.714475,0.017797,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x000001EC0D654B50>
8.714491,0.017797,parameter,sysmon_vocal,lights-2-name,F6
8.714505,0.017797,parameter,sysmon_vocal,lights-2-failure,0
8.714518,0.017797,parameter,sysmon_vocal,lights-2-default,off
8.71453,0.017797,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
8.714544,0.017797,parameter,sysmon_vocal,lights-2-key,F6
8.714556,0.017797,parameter,sysmon_vocal,lights-2-on,0
8.714568,0.017797,parameter,sysmon_vocal,lights-2-_failuretimer,
8.71458,0.017797,parameter,sysmon_vocal,lights-2-_onfailure,0
8.714592,0.017797,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
8.714604,0.017797,parameter,sysmon_vocal,lights-2-_freezetimer,
