logtime,scenario_time,type,module,address,value
1.289881,0,scenario_path,,,includes\scenarios\vocalexplanation.txt
1.290372,0,seed_value,communications_vocal,,
1.290392,0,seed_output,communications_vocal,,BUK143
1.290483,0,seed_value,communications_vocal,,
1.290496,0,seed_output,communications_vocal,,JHF431
1.290573,0,seed_value,communications_vocal,,
1.290585,0,seed_output,communications_vocal,,WUK805
1.29066,0,seed_value,communications_vocal,,
1.290671,0,seed_output,communications_vocal,,HNC748
1.290763,0,seed_value,communications_vocal,,
1.290781,0,seed_output,communications_vocal,,KLO368
1.29086,0,seed_value,communications_vocal,,
1.290871,0,seed_output,communications_vocal,,WHF923
1.290909,0,seed_value,communications_vocal,,
1.290919,0,seed_output,communications_vocal,,112.412242
1.290938,0,seed_value,communications_vocal,,
1.290947,0,seed_output,communications_vocal,,123.00122
1.290965,0,seed_value,communications_vocal,,
1.290974,0,seed_output,communications_vocal,,109.27737
1.290991,0,seed_value,communications_vocal,,
1.290999,0,seed_output,communications_vocal,,132.903914
5.573026,0,dialog,,,OpenMATB end
5.586294,0.017637,aoi,sysmon,vocal_foreground,"(768, 486.0, 1824, 0.0)"
5.586387,0.017637,aoi,sysmon,vocal_overdue,"(768, 486.0, 1824, 0.0)"
5.604435,0.017637,aoi,sysmon,vocal_task_title,"(768, 540.0, 1824, 486.0)"
5.604739,0.017637,aoi,sysmon,vocal_automode,"(1216.8, 52.650000000000006, 1375.2, 25.650000000000002)"
5.607441,0.017637,aoi,sysmon,vocal_scale1,"(847.2, 315.9, 952.8000000000001, 72.89999999999999)"
5.609629,0.017637,aoi,sysmon,vocal_scale2,"(1111.2, 315.9, 1216.8, 72.89999999999999)"
5.611603,0.017637,aoi,sysmon,vocal_scale3,"(1375.2, 315.9, 1480.8, 72.89999999999999)"
5.613979,0.017637,aoi,sysmon,vocal_scale4,"(1639.2, 315.9, 1744.8, 72.89999999999999)"
5.616307,0.017637,aoi,sysmon,vocal_light1,"(820.8, 437.4, 1243.2, 364.5)"
5.618284,0.017637,aoi,sysmon,vocal_light2,"(1348.8, 437.4, 1771.2, 364.5)"
5.618326,0.017637,parameter,sysmon_vocal,title,System monitoring
5.618345,0.017637,parameter,sysmon_vocal,taskplacement,bottommid
5.61836,0.017637,parameter,sysmon_vocal,taskupdatetime,200
5.618379,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-active,0
5.618395,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.61841,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
5.618424,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
5.618437,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
5.61845,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
5.618464,0.017637,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x0000022A95D5B4F0>
5.618482,0.017637,parameter,sysmon_vocal,alerttimeout,10000
5.618495,0.017637,parameter,sysmon_vocal,automaticsolver,0
5.618507,0.017637,parameter,sysmon_vocal,automaticsolverdelay,1000
5.618521,0.017637,parameter,sysmon_vocal,displayautomationstate,1
5.618599,0.017637,parameter,sysmon_vocal,allowanykey,0
5.618614,0.017637,parameter,sysmon_vocal,feedbackduration,1500
5.618629,0.017637,parameter,sysmon_vocal,feedbacks-positive-active,1
5.618643,0.017637,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
5.618659,0.017637,parameter,sysmon_vocal,feedbacks-negative-active,1
5.618672,0.017637,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
5.618687,0.017637,parameter,sysmon_vocal,lights-1-name,F5
5.6187,0.017637,parameter,sysmon_vocal,lights-1-failure,0
5.618712,0.017637,parameter,sysmon_vocal,lights-1-default,on
5.618725,0.017637,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
5.618738,0.017637,parameter,sysmon_vocal,lights-1-key,F5
5.61875,0.017637,parameter,sysmon_vocal,lights-1-on,1
5.618762,0.017637,parameter,sysmon_vocal,lights-1-_failuretimer,
5.618775,0.017637,parameter,sysmon_vocal,lights-1-_onfailure,0
5.618787,0.017637,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
5.6188,0.017637,parameter,sysmon_vocal,lights-1-_freezetimer,
5.618812,0.017637,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x0000022A978CFB20>
5.618829,0.017637,parameter,sysmon_vocal,lights-2-name,F6
5.618842,0.017637,parameter,sysmon_vocal,lights-2-failure,0
5.618854,0.017637,parameter,sysmon_vocal,lights-2-default,off
5.618867,0.017637,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
5.61888,0.017637,parameter,sysmon_vocal,lights-2-key,F6
5.618892,0.017637,parameter,sysmon_vocal,lights-2-on,0
5.618904,0.017637,parameter,sysmon_vocal,lights-2-_failuretimer,
5.618916,0.017637,parameter,sysmon_vocal,lights-2-_onfailure,0
5.618929,0.017637,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
5.618941,0.017637,parameter,sysmon_vocal,lights-2-_freezetimer,
5.618953,0.017637,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x0000022A95C64BE0>
5.61897,0.017637,parameter,sysmon_vocal,scales-1-name,F1
5.618996,0.017637,parameter,sysmon_vocal,scales-1-failure,0
